time_sec,qx,qy,qz,qw,joint_1_pos,joint_2_pos,joint_3_pos,joint_4_pos,joint_5_pos,joint_6_pos,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,fx,fy,fz,tx,ty,tz,fx_physics,fy_physics,fz_physics,tx_physics,ty_physics,tz_physics,fx_traditional_external,fy_traditional_external,fz_traditional_external,tx_traditional_external,ty_traditional_external,tz_traditional_external,fx_residual_nn,fy_residual_nn,fz_residual_nn,tx_residual_nn,ty_residual_nn,tz_residual_nn,fx_nn_external,fy_nn_external,fz_nn_external,tx_nn_external,ty_nn_external,tz_nn_external
1783399237.9582672,0.6823424458631607,-0.4817292414433794,-0.0882704812766627,0.5427283359536821,1.1217405635492756,1.1968595345551114,0.3601661444415498,1.196981707602751,1.5707614202098568,0.7854330699824882,0.09112364024662395,-0.030368728984701335,0.15702727280192982,-0.03038618227722128,0.0,-1.7453292519943296e-05,-0.9738169264352725,-0.727139554298942,4.634480656804099,-0.03825246204879907,-0.10004115733008843,0.00027843065424249826,-0.8432797070661602,-0.5093606303365883,3.671493834458026,0.04067763694919024,-0.0824459761786569,0.019529858094484737,-0.13053721936911233,-0.21777892396235365,0.9629868223460729,-0.0789300989979893,-0.017595181151431535,-0.01925142744024224,0.040928934,-0.015385616,0.12527594,0.0019982355,-0.026672626,-0.005224131,-0.17146615313857683,-0.2023933083229651,0.8377108826430852,-0.08092833446953596,0.009077444762784506,-0.014027296392516563
1783399238.0580175,0.6823139470582236,-0.47651359224167134,-0.09191856061825107,0.5467480702047652,1.1312700612651645,1.1938226616566412,0.3765896927028165,1.1938052083641215,1.5707265136248167,0.7854505232750081,0.09108873366158407,-0.030351275692181393,0.1569400063393301,-0.030368728984701335,0.0,-1.7453292519943296e-05,-0.8480305911765534,-0.8460749704038164,4.634135180327486,-0.03056617574389552,-0.10003135290399201,0.00021893957687612686,-0.8103314647463202,-0.4807666073637291,3.572667385060174,0.03845182713191808,-0.07970453354547291,0.019580981578587023,-0.03769912643023321,-0.3653083630400873,1.061467795267312,-0.0690180028758136,-0.0203268193585191,-0.019362042001710895,0.04001067,-0.0151096275,0.12730192,-0.0012584797,-0.026614115,-0.0051214434,-0.07770979476757833,-0.3501987355324603,0.9341658787872476,-0.0677595232117114,0.00628729528362415,-0.01424059858106232
1783399238.15806,0.6823543260110776,-0.4739578894467211,-0.09373817895392235,0.5486070056165705,1.1401712404503355,1.1909079618058107,0.3914598979298081,1.190873055220771,1.5707265136248167,0.7854505232750081,0.09108873366158407,-0.030351275692181393,0.1569400063393301,-0.030368728984701335,0.0,-1.7453292519943296e-05,-0.8576472811074323,-0.7105248087037549,4.473471402855503,-0.03737834740586528,-0.1000345848373466,0.00027675210397898575,-0.7950027768739059,-0.4677228919606975,3.526114622597753,0.037444662375442195,-0.07843177490971276,0.01960596371008634,-0.06264450423352641,-0.2428019167430574,0.9473567802577496,-0.07482300978130747,-0.021602809927633845,-0.019329211606107354,0.04001199,-0.015264815,0.12886482,-0.0035104917,-0.026731817,-0.0052885073,-0.10265649504892749,-0.22753710202349964,0.8184919554858685,-0.07131251809164037,0.005129007124134458,-0.014040704282395244
1783399238.2582333,0.6823926698780362,-0.4688152567364694,-0.09741572011234578,0.5523247926925217,1.1495436585335452,1.1876441961045814,0.4076041935107557,1.1875569296419817,1.5707265136248167,0.7854505232750081,0.0911410935391439,-0.030368728984701335,0.15704472609444975,-0.03038618227722128,0.0,-1.7453292519943296e-05,-0.8709215432294187,-0.6896123922346753,4.372038580079038,-0.035541715747164346,-0.10003348319774594,0.0003054921921263603,-0.7647786461849915,-0.4418255985051731,3.432046231996963,0.03545414259311275,-0.07593275777490305,0.019654397089476132,-0.10614289704442725,-0.24778679372950219,0.9399923480820749,-0.0709958583402771,-0.02410072542284289,-0.01934890489734977,0.039305557,-0.015228288,0.13112086,-0.007755502,-0.026083939,-0.0053608287,-0.1454484536099504,-0.23255850548132084,0.8088714875054452,-0.06324035621316614,0.0019832133546038577,-0.013988076184767183
1783399238.3582027,0.6822024533311765,-0.46367421725983266,-0.10112843845786869,0.5562185468433057,1.1582528515009969,1.184659683083671,0.42287582446570604,1.1847469495462708,1.5707439669173369,0.7854505232750081,0.09108873366158407,-0.030351275692181393,0.15695745963185004,-0.03038618227722128,0.0,-1.7453292519943296e-05,-0.7498941975849225,-0.7279415284930605,4.430734095283839,-0.020736908900081022,-0.08336720461870814,0.00019158596619404784,-0.7335789246666051,-0.41554530419473856,3.332820190879751,0.03345513024014202,-0.07336287631561034,0.019706486362719766,-0.01631527291831736,-0.3123962242983219,1.0979139044040878,-0.05419203914022304,-0.010004328303097804,-0.019514900396525717,0.03844405,-0.014959808,0.13321564,-0.012400504,-0.025006277,-0.005488071,-0.0547593225747085,-0.2974364158593056,0.9646982683891494,-0.04179153493857242,0.015001949183584135,-0.014026829271525001
1783399238.4583008,0.6820616967644775,-0.45858272854857846,-0.1048456276348823,0.5599117048692147,1.1676252695842064,1.1815355437226012,0.43896776016909383,1.1816751700627608,1.5707265136248167,0.7854505232750081,0.091106186954104,-0.030368728984701335,0.15697491292437,-0.03038618227722128,0.0,-1.7453292519943296e-05,-0.8251681066158332,-0.6188615058331541,4.225059955704238,-0.04271886892332513,-0.10084463403582114,0.0003348938514918361,-0.704327903368088,-0.39088164106861,3.236869657947956,0.03159481597765379,-0.07096700675898837,0.019755207587937133,-0.12084020324774514,-0.22797986476454413,0.9881902977562822,-0.07431368490097892,-0.02987762727683277,-0.0194203137364453,0.037840076,-0.014861276,0.13540016,-0.017370021,-0.023641463,-0.005734218,-0.15868027903862725,-0.21311858839127695,0.8527901366091646,-0.05694366393027675,-0.006236163907701681,-0.013686095917618862
1783399238.5583968,0.6818736297699385,-0.45598569238064623,-0.10673673413264598,0.5619009440775202,1.1762471960890586,1.1786382971642908,0.45411721807640454,1.1787430169194104,1.5707439669173369,0.7854330699824882,0.0911410935391439,-0.030368728984701335,0.15704472609444975,-0.03038618227722128,0.0,-1.7453292519943296e-05,-0.7166758134239606,-0.7074889027863996,4.130223221896791,-0.026648759210085776,-0.10012313218205757,0.00022754122877652149,-0.6890317245376991,-0.37779390904397303,3.1851506588291665,0.03061210890978805,-0.06972127172543441,0.019779805574490796,-0.027644088886261464,-0.3296949937424266,0.9450725630676242,-0.057260868119873826,-0.03040186045662316,-0.019552264345714276,0.037896726,-0.014934059,0.13695882,-0.020646589,-0.022899903,-0.0060770107,-0.06554081516671229,-0.31476093450995324,0.8081137404596301,-0.03661427924303037,-0.0075019570995941975,-0.013475253695526546
1783399238.658137,0.6816392013525546,-0.4508423431181859,-0.11054541923963908,0.5655872091165854,1.1858465069750272,1.1754094380481013,0.4709072854805901,1.1754617979256612,1.5707439669173369,0.7854330699824882,0.09077457439622506,-0.030246555937061735,0.15643386085625174,-0.030281462522101617,0.0,-1.7453292519943296e-05,-0.700838129560979,-0.5944463666511558,4.1183965233653055,-0.05859206730350236,-0.08248156274507885,0.0003531452167376627,-0.6605063289722546,-0.35386603998046695,3.087268523578915,0.028833954202149514,-0.06740475697839321,0.019827890908212867,-0.04033180058872443,-0.24058032667068885,1.0311279997863907,-0.08742602150565187,-0.015076805766685644,-0.019474745691475205,0.03697086,-0.014496121,0.1383948,-0.025574358,-0.02116114,-0.00653151,-0.07730266184484702,-0.22608420604644464,0.8927331969776291,-0.06185166332548658,0.006084335107342562,-0.012943235655036502
1783399238.7580655,0.6813495933857735,-0.44560983256933573,-0.11446073153159184,0.5692919722320195,1.1947476861601982,1.1725645513673504,0.4856204110749023,1.1725121914897907,1.5707439669173369,0.7854505232750081,0.09096656061394444,-0.030316369107141503,0.15674802012161074,-0.030333822399661446,0.0,-1.7453292519943296e-05,-0.7126966699754078,-0.5678470487575717,3.941349375718583,-0.05982068668008761,-0.08383910597079909,0.0003928727773245502,-0.6322349494292743,-0.33030277641850514,2.987364721884709,0.02710243157686243,-0.06512223772671699,0.019876248120889693,-0.08046172054613354,-0.2375442723390666,0.9539846538338743,-0.08692311825695004,-0.0187168682440821,-0.019483375343565142,0.036474835,-0.014369231,0.13998726,-0.030312315,-0.019307435,-0.006875297,-0.11693655567372563,-0.22317504162164603,0.8139973937306486,-0.05661080362739529,0.0005905663147863088,-0.012608078288916743
1783399238.8580675,0.6808796682278965,-0.440429224103009,-0.11837336379223026,0.5730730517956707,1.2041550108284476,1.1694404120062805,0.5022184922613683,1.1695451317614003,1.5707614202098568,0.7854330699824882,0.09107128036906412,-0.030351275692181393,0.15692255304681016,-0.030368728984701335,0.0,-1.7453292519943296e-05,-0.6237837928603138,-0.6268198430349726,3.9267764567514996,-0.04485895987204481,-0.0675926482268612,0.00025938299664037337,-0.6039393421579442,-0.3070149053650484,2.8845297802101864,0.025413939522675788,-0.06285090885840028,0.01992601239046574,-0.01984445070236962,-0.31980493766992424,1.0422466765413132,-0.07027289939472059,-0.004741739368460923,-0.019666629393825366,0.035852376,-0.014020003,0.14098723,-0.034550235,-0.017474636,-0.0073240586,-0.055696827073991706,-0.305784934291533,0.901259444213852,-0.03572266471931318,0.012732897067047805,-0.0123425708313082
