meas_Fx,meas_Fy,meas_Fz,meas_Tx,meas_Ty,meas_Tz,physics_Fx,physics_Fy,physics_Fz,physics_Tx,physics_Ty,physics_Tz,nn_Fx,nn_Fy,nn_Fz,nn_Tx,nn_Ty,nn_Tz,raw_res_Fx,raw_res_Fy,raw_res_Fz,raw_res_Tx,raw_res_Ty,raw_res_Tz,physics_res_Fx,physics_res_Fy,physics_res_Fz,physics_res_Tx,physics_res_Ty,physics_res_Tz,nn_res_Fx,nn_res_Fy,nn_res_Fz,nn_res_Tx,nn_res_Ty,nn_res_Tz
2.003203332424163818e-02,2.951795235276222229e-02,1.760216355323791504e-01,-1.442876262297088184e-15,1.998811408271752854e-15,6.935688942993054919e-16,-1.304599940776824951e-01,8.649730682373046875e-02,6.541114766150712967e-03,-1.614679209887981415e-02,-9.749171324074268341e-03,1.817759685218334198e-02,-2.799071311950683594e+00,-2.687206506729125977e+00,3.443712472915649414e+00,1.249703466892242432e-01,-2.466400712728500366e-01,7.213284075260162354e-02,2.003203332424163818e-02,2.951795235276222229e-02,1.760216355323791504e-01,-1.442876262297088184e-15,1.998811408271752854e-15,6.935688942993054919e-16,1.504920274019241333e-01,-5.697935447096824646e-02,1.694805175065994263e-01,1.614679209887981415e-02,9.749171324074268341e-03,-1.817759685218334198e-02,2.819103240966796875e+00,2.716724395751953125e+00,-3.267690896987915039e+00,-1.249703466892242432e-01,2.466400712728500366e-01,-7.213284075260162354e-02
1.358125358819961548e-02,2.123858034610748291e-02,1.616406738758087158e-01,-1.442868427242326081e-15,1.998837666293117737e-15,6.935091784765240637e-16,-1.288200914859771729e-01,8.783635497093200684e-02,-2.782101929187774658e-02,-1.604122482240200043e-02,-9.780984371900558472e-03,1.818139478564262390e-02,-2.793451547622680664e+00,-2.690008640289306641e+00,3.427243947982788086e+00,1.254134178161621094e-01,-2.466114312410354614e-01,7.208414375782012939e-02,1.358125358819961548e-02,2.123858034610748291e-02,1.616406738758087158e-01,-1.442868427242326081e-15,1.998837666293117737e-15,6.935091784765240637e-16,1.424013376235961914e-01,-6.659777462482452393e-02,1.894616931676864624e-01,1.604122482240200043e-02,9.780984371900558472e-03,-1.818139478564262390e-02,2.807032823562622070e+00,2.711247205734252930e+00,-3.265603303909301758e+00,-1.254134178161621094e-01,2.466114312410354614e-01,-7.208414375782012939e-02
-5.494517390616238117e-04,1.391346845775842667e-02,1.409847438335418701e-01,-1.442854768836051606e-15,1.998845077831406213e-15,6.935162194378981151e-16,-1.274696290493011475e-01,8.945500105619430542e-02,-6.406076997518539429e-02,-1.595012098550796509e-02,-9.851683862507343292e-03,1.818163320422172546e-02,-2.787581920623779297e+00,-2.693060159683227539e+00,3.409987688064575195e+00,1.258989870548248291e-01,-2.465980648994445801e-01,7.201604545116424561e-02,-5.494517390616238117e-04,1.391346845775842667e-02,1.409847438335418701e-01,-1.442854768836051606e-15,1.998845077831406213e-15,6.935162194378981151e-16,1.269201785326004028e-01,-7.554153352975845337e-02,2.050455212593078613e-01,1.595012098550796509e-02,9.851683862507343292e-03,-1.818163320422172546e-02,2.787032365798950195e+00,2.706973552703857422e+00,-3.269002914428710938e+00,-1.258989870548248291e-01,2.465980648994445801e-01,-7.201604545116424561e-02
1.419409457594156265e-02,3.162259608507156372e-02,1.043994426727294922e-01,-1.442870544824694217e-15,1.998841266183143568e-15,6.934946730373023338e-16,-1.267441511154174805e-01,9.016405045986175537e-02,-8.236865699291229248e-02,-1.589344628155231476e-02,-9.883161634206771851e-03,1.818265952169895172e-02,-2.782804965972900391e+00,-2.699620723724365234e+00,3.398492813110351562e+00,1.266815364360809326e-01,-2.465614974498748779e-01,7.190092653036117554e-02,1.419409457594156265e-02,3.162259608507156372e-02,1.043994426727294922e-01,-1.442870544824694217e-15,1.998841266183143568e-15,6.934946730373023338e-16,1.409382522106170654e-01,-5.854145437479019165e-02,1.867680996656417847e-01,1.589344628155231476e-02,9.883161634206771851e-03,-1.818265952169895172e-02,2.796998977661132812e+00,2.731243371963500977e+00,-3.294093370437622070e+00,-1.266815364360809326e-01,2.465614974498748779e-01,-7.190092653036117554e-02
2.080105617642402649e-02,1.460667792707681656e-02,6.438605487346649170e-02,-1.442839416363882622e-15,1.998891029368794758e-15,6.934160048523260907e-16,-1.254193633794784546e-01,9.148082137107849121e-02,-1.176833510398864746e-01,-1.577913202345371246e-02,-9.951193816959857941e-03,1.818441040813922882e-02,-2.776938915252685547e+00,-2.703073263168334961e+00,3.381416082382202148e+00,1.272017955780029297e-01,-2.465413659811019897e-01,7.183511555194854736e-02,2.080105617642402649e-02,1.460667792707681656e-02,6.438605487346649170e-02,-1.442839416363882622e-15,1.998891029368794758e-15,6.934160048523260907e-16,1.462204158306121826e-01,-7.687414437532424927e-02,1.820694059133529663e-01,1.577913202345371246e-02,9.951193816959857941e-03,-1.818441040813922882e-02,2.797739982604980469e+00,2.717679977416992188e+00,-3.317029953002929688e+00,-1.272017955780029297e-01,2.465413659811019897e-01,-7.183511555194854736e-02
2.597239427268505096e-02,3.157274797558784485e-02,5.303843691945075989e-02,-1.442761171695380006e-15,1.998951168708049814e-15,6.934055757591630221e-16,-1.241896748542785645e-01,9.270258992910385132e-02,-1.526302099227905273e-01,-1.565804146230220795e-02,-1.002648565918207169e-02,1.818604022264480591e-02,-2.771513938903808594e+00,-2.705622673034667969e+00,3.365109443664550781e+00,1.276232600212097168e-01,-2.465292513370513916e-01,7.178421318531036377e-02,2.597239427268505096e-02,3.157274797558784485e-02,5.303843691945075989e-02,-1.442761171695380006e-15,1.998951168708049814e-15,6.934055757591630221e-16,1.501620709896087646e-01,-6.112984195351600647e-02,2.056686431169509888e-01,1.565804146230220795e-02,1.002648565918207169e-02,-1.818604022264480591e-02,2.797486305236816406e+00,2.737195491790771484e+00,-3.312071084976196289e+00,-1.276232600212097168e-01,2.465292513370513916e-01,-7.178421318531036377e-02
1.650843024253845215e-02,1.449637580662965775e-02,-5.034971050918102264e-03,-1.442782876914653397e-15,1.998900982005924996e-15,6.935047844931101820e-16,-1.228722482919692993e-01,9.375923871994018555e-02,-1.888919919729232788e-01,-1.551170833408832550e-02,-1.010054536163806915e-02,1.818919740617275238e-02,-2.765575408935546875e+00,-2.709064483642578125e+00,3.347685337066650391e+00,1.281487941741943359e-01,-2.465116977691650391e-01,7.172095775604248047e-02,1.650843024253845215e-02,1.449637580662965775e-02,-5.034971050918102264e-03,-1.442782876914653397e-15,1.998900982005924996e-15,6.935047844931101820e-16,1.393806785345077515e-01,-7.926286011934280396e-02,1.838570237159729004e-01,1.551170833408832550e-02,1.010054536163806915e-02,-1.818919740617275238e-02,2.782083749771118164e+00,2.723560810089111328e+00,-3.352720260620117188e+00,-1.281487941741943359e-01,2.465116977691650391e-01,-7.172095775604248047e-02
8.293294347822666168e-03,2.361033670604228973e-02,-4.709103330969810486e-02,-1.442757042409762141e-15,1.998925545961395371e-15,6.934877379550466892e-16,-1.223036721348762512e-01,9.431191533803939819e-02,-2.070235162973403931e-01,-1.544092316180467606e-02,-1.014641206711530685e-02,1.819001883268356323e-02,-2.760801315307617188e+00,-2.716034173965454102e+00,3.336240291595458984e+00,1.289741992950439453e-01,-2.464808821678161621e-01,7.159873098134994507e-02,8.293294347822666168e-03,2.361033670604228973e-02,-4.709103330969810486e-02,-1.442757042409762141e-15,1.998925545961395371e-15,6.934877379550466892e-16,1.305969655513763428e-01,-7.070157676935195923e-02,1.599324792623519897e-01,1.544092316180467606e-02,1.014641206711530685e-02,-1.819001883268356323e-02,2.769094705581665039e+00,2.739644527435302734e+00,-3.383331298828125000e+00,-1.289741992950439453e-01,2.464808821678161621e-01,-7.159873098134994507e-02
3.843463584780693054e-02,6.830766331404447556e-03,-5.798871070146560669e-02,-1.442826922627910621e-15,1.998904793654187641e-15,6.934025582042884286e-16,-1.213815435767173767e-01,9.549026191234588623e-02,-2.431054264307022095e-01,-1.530775707215070724e-02,-1.025820523500442505e-02,1.818977296352386475e-02,-2.755038738250732422e+00,-2.719671487808227539e+00,3.318976402282714844e+00,1.295201778411865234e-01,-2.464773952960968018e-01,7.152904570102691650e-02,3.843463584780693054e-02,6.830766331404447556e-03,-5.798871070146560669e-02,-1.442826922627910621e-15,1.998904793654187641e-15,6.934025582042884286e-16,1.598161756992340088e-01,-8.865949511528015137e-02,1.851167082786560059e-01,1.530775707215070724e-02,1.025820523500442505e-02,-1.818977296352386475e-02,2.793473482131958008e+00,2.726502180099487305e+00,-3.376965045928955078e+00,-1.295201778411865234e-01,2.464773952960968018e-01,-7.152904570102691650e-02
3.674258291721343994e-02,3.166510164737701416e-02,-6.210782751441001892e-02,-1.442807229111886958e-15,1.998884041346979910e-15,6.935031963063340802e-16,-1.202652603387832642e-01,9.632433205842971802e-02,-2.795651555061340332e-01,-1.513824611902236938e-02,-1.035308651626110077e-02,1.819279044866561890e-02,-2.751316308975219727e+00,-2.722976446151733398e+00,3.303732633590698242e+00,1.300105750560760498e-01,-2.465138435363769531e-01,7.152695953845977783e-02,3.674258291721343994e-02,3.166510164737701416e-02,-6.210782751441001892e-02,-1.442807229111886958e-15,1.998884041346979910e-15,6.935031963063340802e-16,1.570078432559967041e-01,-6.465923041105270386e-02,2.174573242664337158e-01,1.513824611902236938e-02,1.035308651626110077e-02,-1.819279044866561890e-02,2.788058996200561523e+00,2.754641532897949219e+00,-3.365840435028076172e+00,-1.300105750560760498e-01,2.465138435363769531e-01,-7.152695953845977783e-02
1.859918981790542603e-02,2.143054455518722534e-02,-1.141465306282043457e-01,-1.442764136310695396e-15,1.998956039147496526e-15,6.933849822706329019e-16,-1.194096356630325317e-01,9.717291593551635742e-02,-3.145342171192169189e-01,-1.498042978346347809e-02,-1.046516094356775284e-02,1.819393225014209747e-02,-2.747219324111938477e+00,-2.727715730667114258e+00,3.288335323333740234e+00,1.306486725807189941e-01,-2.465444505214691162e-01,7.149600982666015625e-02,1.859918981790542603e-02,2.143054455518722534e-02,-1.141465306282043457e-01,-1.442764136310695396e-15,1.998956039147496526e-15,6.933849822706329019e-16,1.380088329315185547e-01,-7.574237138032913208e-02,2.003876864910125732e-01,1.498042978346347809e-02,1.046516094356775284e-02,-1.819393225014209747e-02,2.765818595886230469e+00,2.749146223068237305e+00,-3.402481794357299805e+00,-1.306486725807189941e-01,2.465444505214691162e-01,-7.149600982666015625e-02
5.917002912610769272e-03,9.859764017164707184e-03,-1.500844210386276245e-01,-1.442792088397954788e-15,1.998911569917765675e-15,6.934555507030510258e-16,-1.187323629856109619e-01,9.811504930257797241e-02,-3.513783216476440430e-01,-1.481886208057403564e-02,-1.060521975159645081e-02,1.819332130253314972e-02,-2.743652820587158203e+00,-2.731071949005126953e+00,3.273247718811035156e+00,1.311471760272979736e-01,-2.466004192829132080e-01,7.147993147373199463e-02,5.917002912610769272e-03,9.859764017164707184e-03,-1.500844210386276245e-01,-1.442792088397954788e-15,1.998911569917765675e-15,6.934555507030510258e-16,1.246493682265281677e-01,-8.825528621673583984e-02,2.012939006090164185e-01,1.481886208057403564e-02,1.060521975159645081e-02,-1.819332130253314972e-02,2.749569892883300781e+00,2.740931749343872070e+00,-3.423332214355468750e+00,-1.311471760272979736e-01,2.466004192829132080e-01,-7.147993147373199463e-02
2.097186259925365448e-02,6.593537516891956329e-03,-1.912167817354202271e-01,-1.442807017353650145e-15,1.998873241676902418e-15,6.935349600418561165e-16,-1.183679029345512390e-01,9.847547113895416260e-02,-3.693336844444274902e-01,-1.473044976592063904e-02,-1.067010406404733658e-02,1.819381304085254669e-02,-2.739443302154541016e+00,-2.739037275314331055e+00,3.262302875518798828e+00,1.320722103118896484e-01,-2.465862631797790527e-01,7.136732339859008789e-02,2.097186259925365448e-02,6.593537516891956329e-03,-1.912167817354202271e-01,-1.442807017353650145e-15,1.998873241676902418e-15,6.935349600418561165e-16,1.393397599458694458e-01,-9.188193082809448242e-02,1.781169027090072632e-01,1.473044976592063904e-02,1.067010406404733658e-02,-1.819381304085254669e-02,2.760415077209472656e+00,2.745630741119384766e+00,-3.453519582748413086e+00,-1.320722103118896484e-01,2.465862631797790527e-01,-7.136732339859008789e-02
1.478444971144199371e-02,1.118083298206329346e-02,-2.195346653461456299e-01,-1.442782559277298177e-15,1.998926816510816253e-15,6.934313573244950749e-16,-1.175446435809135437e-01,9.899503737688064575e-02,-4.058052003383636475e-01,-1.453003566712141037e-02,-1.079376880079507828e-02,1.819657534360885620e-02,-2.735785007476806641e+00,-2.742641687393188477e+00,3.247139453887939453e+00,1.325921416282653809e-01,-2.466296553611755371e-01,7.136253267526626587e-02,1.478444971144199371e-02,1.118083298206329346e-02,-2.195346653461456299e-01,-1.442782559277298177e-15,1.998926816510816253e-15,6.934313573244950749e-16,1.323290914297103882e-01,-8.781420439481735229e-02,1.862705349922180176e-01,1.453003566712141037e-02,1.079376880079507828e-02,-1.819657534360885620e-02,2.750569343566894531e+00,2.753822565078735352e+00,-3.466674089431762695e+00,-1.325921416282653809e-01,2.466296553611755371e-01,-7.136253267526626587e-02
4.060846939682960510e-02,3.414513543248176575e-02,-2.492952942848205566e-01,-1.442827240265265841e-15,1.998877053325165062e-15,6.934815969661790955e-16,-1.169731467962265015e-01,9.958381950855255127e-02,-4.420974552631378174e-01,-1.433764025568962097e-02,-1.094110216945409775e-02,1.819721609354019165e-02,-2.731802225112915039e+00,-2.747149229049682617e+00,3.231644153594970703e+00,1.332156062126159668e-01,-2.466743588447570801e-01,7.133103907108306885e-02,4.060846939682960510e-02,3.414513543248176575e-02,-2.492952942848205566e-01,-1.442827240265265841e-15,1.998877053325165062e-15,6.934815969661790955e-16,1.575816124677658081e-01,-6.543868780136108398e-02,1.928021609783172607e-01,1.433764025568962097e-02,1.094110216945409775e-02,-1.819721609354019165e-02,2.772410631179809570e+00,2.781294345855712891e+00,-3.480939388275146484e+00,-1.332156062126159668e-01,2.466743588447570801e-01,-7.133103907108306885e-02
1.748166978359222412e-02,1.497028954327106476e-02,-2.851178944110870361e-01,-1.442873085923535980e-15,1.998824960798908923e-15,6.935362305912769979e-16,-1.164645478129386902e-01,1.000941172242164612e-01,-4.797018766403198242e-01,-1.412851177155971527e-02,-1.110195089131593704e-02,1.819786056876182556e-02,-2.728236675262451172e+00,-2.750561475753784180e+00,3.216291427612304688e+00,1.337271332740783691e-01,-2.467347234487533569e-01,7.132157683372497559e-02,1.748166978359222412e-02,1.497028954327106476e-02,-2.851178944110870361e-01,-1.442873085923535980e-15,1.998824960798908923e-15,6.935362305912769979e-16,1.339462101459503174e-01,-8.512382954359054565e-02,1.945839822292327881e-01,1.412851177155971527e-02,1.110195089131593704e-02,-1.819786056876182556e-02,2.745718240737915039e+00,2.765531778335571289e+00,-3.501409292221069336e+00,-1.337271332740783691e-01,2.467347234487533569e-01,-7.132157683372497559e-02
2.200664207339286804e-02,1.813195832073688507e-02,-3.333625793457031250e-01,-1.442900402736084931e-15,1.998809714205858346e-15,6.935233662783905732e-16,-1.160635203123092651e-01,1.005032062530517578e-01,-5.161840915679931641e-01,-1.391719747334718704e-02,-1.126705482602119446e-02,1.819833181798458099e-02,-2.724258899688720703e+00,-2.755524396896362305e+00,3.200515747070312500e+00,1.343958079814910889e-01,-2.467872798442840576e-01,7.128901779651641846e-02,2.200664207339286804e-02,1.813195832073688507e-02,-3.333625793457031250e-01,-1.442900402736084931e-15,1.998809714205858346e-15,6.935233662783905732e-16,1.380701661109924316e-01,-8.237124979496002197e-02,1.828215122222900391e-01,1.391719747334718704e-02,1.126705482602119446e-02,-1.819833181798458099e-02,2.746265649795532227e+00,2.773656368255615234e+00,-3.533878326416015625e+00,-1.343958079814910889e-01,2.467872798442840576e-01,-7.128901779651641846e-02
4.520718008279800415e-02,3.186048567295074463e-02,-3.592028915882110596e-01,-1.442905273175531643e-15,1.998799973326964921e-15,6.935412598494013203e-16,-1.160135567188262939e-01,1.007896140217781067e-01,-5.343304276466369629e-01,-1.382021605968475342e-02,-1.136383041739463806e-02,1.819707266986370087e-02,-2.720406770706176758e+00,-2.763054847717285156e+00,3.189971446990966797e+00,1.352731585502624512e-01,-2.467889487743377686e-01,7.118406891822814941e-02,4.520718008279800415e-02,3.186048567295074463e-02,-3.592028915882110596e-01,-1.442905273175531643e-15,1.998799973326964921e-15,6.935412598494013203e-16,1.612207293510437012e-01,-6.892912834882736206e-02,1.751275360584259033e-01,1.382021605968475342e-02,1.136383041739463806e-02,-1.819707266986370087e-02,2.765614032745361328e+00,2.794915437698364258e+00,-3.549174308776855469e+00,-1.352731585502624512e-01,2.467889487743377686e-01,-7.118406891822814941e-02
1.382677536457777023e-02,2.026767283678054810e-02,-3.440760374069213867e-01,-1.442838039935343333e-15,1.998849101237905670e-15,6.935396716626252185e-16,-1.156105175614356995e-01,1.009256988763809204e-01,-5.700685977935791016e-01,-1.358727458864450455e-02,-1.152456831187009811e-02,1.819908805191516876e-02,-2.716600656509399414e+00,-2.767826318740844727e+00,3.174701213836669922e+00,1.359194517135620117e-01,-2.468420267105102539e-01,7.115475833415985107e-02,1.382677536457777023e-02,2.026767283678054810e-02,-3.440760374069213867e-01,-1.442838039935343333e-15,1.998849101237905670e-15,6.935396716626252185e-16,1.294372975826263428e-01,-8.065802603960037231e-02,2.259925603866577148e-01,1.358727458864450455e-02,1.152456831187009811e-02,-1.819908805191516876e-02,2.730427503585815430e+00,2.788094043731689453e+00,-3.518777370452880859e+00,-1.359194517135620117e-01,2.468420267105102539e-01,-7.115475833415985107e-02
